100	0.05	0.07	0.07	0	0	0.05
200	0.04	0.12	0.12	0	0	0.04
300	0.06	0.13	0.13	0	0	0.06
400	0.06	0.14	0.14	0	0	0.06
500	0.06	0.14	0.14	0	0	0.06
600	0.06	0.13	0.13	0	0	0.06
700	0.07	0.13	0.13	0	0	0.07
800	0.07	0.14	0.14	0	0	0.07
900	0.07	0.14	0.14	0	0	0.07
1000	0.07	0.15	0.15	0	0	0.07
1100	0.09	0.16	0.16	0	0	0.09
1200	0.11	0.17	0.17	0	0	0.11
1300	0.12	0.17	0.17	0	0	0.12
1400	0.11	0.16	0.16	0	0	0.11
1500	0.12	0.16	0.16	0	0	0.12
1600	0.12	0.15	0.15	0	0	0.12
1700	0.12	0.15	0.15	0	0	0.12
1800	0.11	0.16	0.16	0	0	0.11
1900	0.13	0.15	0.15	0	0	0.13
2000	0.15	0.16	0.16	0	0	0.15
2100	0.15	0.17	0.17	0	0	0.15
2200	0.15	0.17	0.17	0	0	0.15
2300	0.14	0.18	0.18	0	0	0.14
2400	0.13	0.21	0.21	0	0	0.13
2500	0.13	0.19	0.19	0	0	0.13
2600	0.13	0.18	0.18	0	0	0.13
2700	0.13	0.18	0.18	0	0	0.13
2800	0.14	0.17	0.17	0	0	0.14
2900	0.14	0.17	0.17	0	0	0.14
3000	0.13	0.18	0.18	0	0	0.13
3100	0.13	0.2	0.2	0	0	0.13
3200	0.13	0.2	0.2	0	0	0.13
3300	0.13	0.19	0.19	0	0	0.13
3400	0.15	0.19	0.19	0	0	0.15
3500	0.17	0.2	0.2	0	0	0.17
3600	0.18	0.19	0.19	0	0	0.18
3700	0.18	0.19	0.19	0	0	0.18
3800	0.18	0.2	0.2	0	0	0.18
3900	0.17	0.21	0.21	0	0	0.17
4000	0.17	0.19	0.19	0	0	0.17
4100	0.18	0.21	0.21	0	0	0.18
4200	0.17	0.21	0.21	0	0	0.17
4300	0.18	0.24	0.24	0	0	0.18
4400	0.18	0.24	0.24	0	0	0.18
4500	0.18	0.25	0.25	0	0	0.18
4600	0.18	0.25	0.25	0	0	0.18
4700	0.18	0.26	0.26	0	0	0.18
4800	0.18	0.26	0.26	0	0	0.18
4900	0.19	0.26	0.26	0	0	0.19
5000	0.19	0.26	0.26	0	0	0.19
5100	0.19	0.26	0.26	0	0	0.19
5200	0.19	0.26	0.26	0	0	0.19
5300	0.19	0.27	0.27	0	0	0.19
5400	0.19	0.27	0.27	0	0	0.19
5500	0.19	0.27	0.27	0	0	0.19
5600	0.21	0.28	0.28	0	0	0.21
5700	0.21	0.29	0.29	0	0	0.21
5800	0.21	0.29	0.29	0	0	0.21
